n-gram (n =2),Location
"{christus,usibus}",prud. epil. 27 |1.3|
"{christus,usus}",prud. epil. 27 |1.3|
"{cieo,iambicos}",prud. epil. 7 |2.3|
"{citos,iambicos}",prud. epil. 7 |2.3|
"{citus,iambicos}",prud. epil. 7 |2.3|
"{congruens,erilem}",prud. epil. 22 |5.6|
"{congruens,erilis}",prud. epil. 22 |5.6|
"{congruo,erilem}",prud. epil. 22 |5.6|
"{congruo,erilis}",prud. epil. 22 |5.6|
"{defio,expolio}",prud. epil. 16 |3.4|
"{defio,expolita}",prud. epil. 16 |3.4|
"{defio,peluis}",prud. epil. 16 |3.5|
"{defit,expolio}",prud. epil. 16 |3.4|
"{defit,expolita}",prud. epil. 16 |3.4|
"{defit,peluis}",prud. epil. 16 |3.5|
"{deo,obsequela}",prud. epil. 32 |1.2|
"{deo,obsequellam}",prud. epil. 32 |1.2|
"{deo,pater}",prud. epil. 1 |2.3|
"{deo,patri}",prud. epil. 1 |2.3|
"{deo,patrium}",prud. epil. 1 |2.3|
"{deo,patrius}",prud. epil. 1 |2.3|
"{deo,praestitisse}",prud. epil. 32 |1.3|
"{deo,praesto}",prud. epil. 32 |1.3|
"{deo,prodest}",prud. epil. 32 |1.4|
"{deo,prodo}",prud. epil. 32 |1.4|
"{deo,prosum}",prud. epil. 32 |1.4|
"{deus,obsequela}",prud. epil. 32 |1.2|
"{deus,obsequellam}",prud. epil. 32 |1.2|
"{deus,pater}",prud. epil. 1 |2.3|
"{deus,patri}",prud. epil. 1 |2.3|
"{deus,patrium}",prud. epil. 1 |2.3|
"{deus,patrius}",prud. epil. 1 |2.3|
"{deus,praestitisse}",prud. epil. 32 |1.3|
"{deus,praesto}",prud. epil. 32 |1.3|
"{deus,prodest}",prud. epil. 32 |1.4|
"{deus,prodo}",prud. epil. 32 |1.4|
"{deus,prosum}",prud. epil. 32 |1.4|
"{diues,domo}",prud. epil. 13 |2.3|
"{diues,domus}",prud. epil. 13 |2.3|
"{diuitis,domo}",prud. epil. 13 |2.3|
"{diuitis,domus}",prud. epil. 13 |2.3|
"{dona,conscientia}",prud. epil. 3 |1.2|
"{dona,conscientiae}",prud. epil. 3 |1.2|
"{dono,conscientia}",prud. epil. 3 |1.2|
"{dono,conscientiae}",prud. epil. 3 |1.2|
"{donum,conscientia}",prud. epil. 3 |1.2|
"{donum,conscientiae}",prud. epil. 3 |1.2|
"{eburna,quaepiam}",prud. epil. 19 |2.3|
"{eburnus,quaepiam}",prud. epil. 19 |2.3|
"{ecce,fictile}",prud. epil. 29 |2.3|
"{ecce,fictilis}",prud. epil. 29 |2.3|
"{ego,atrio}",prud. epil. 25 |1.4|
"{ego,atrium}",prud. epil. 25 |1.4|
"{ego,atrius}",prud. epil. 25 |1.4|
"{ego,cieo}",prud. epil. 7 |1.2|
"{ego,citos}",prud. epil. 7 |1.2|
"{ego,citus}",prud. epil. 7 |1.2|
"{ego,iambicos}",prud. epil. 7 |1.3|
"{ego,in}",prud. epil. 25 |1.3|
"{ego,paterno}",prud. epil. 25 |1.2|
"{ego,paternus}",prud. epil. 25 |1.2|
"{emo,ligno}",prud. epil. 24 |2.6|
"{emo,lignum}",prud. epil. 24 |2.6|
"{emo,magno}",prud. epil. 24 |2.3|
"{emo,magnus}",prud. epil. 24 |2.3|
"{emo,parata}",prud. epil. 24 |2.5|
"{emo,paratus}",prud. epil. 24 |2.5|
"{emo,paro}",prud. epil. 24 |2.5|
"{emo,sic}",prud. epil. 24 |2.4|
"{empta,ligno}",prud. epil. 24 |2.6|
"{empta,lignum}",prud. epil. 24 |2.6|
"{empta,magno}",prud. epil. 24 |2.3|
"{empta,magnus}",prud. epil. 24 |2.3|
"{empta,parata}",prud. epil. 24 |2.5|
"{empta,paratus}",prud. epil. 24 |2.5|
"{empta,paro}",prud. epil. 24 |2.5|
"{empta,sic}",prud. epil. 24 |2.4|
"{emptum,ligno}",prud. epil. 24 |2.6|
