n-gram (n =2),Location
"{quercus,ulmus}",prud. epil. 20 |2.6|
"{qui,abundat}",prud. epil. 4 |1.4|
"{qui,abundo}",prud. epil. 4 |1.4|
"{qui,ad}",prud. epil. 22 |1.3|
"{qui,beata}",prud. epil. 4 |1.2|
"{qui,beatum}",prud. epil. 4 |1.2|
"{qui,beatus}",prud. epil. 4 |1.2|
"{qui,beo}",prud. epil. 4 |1.2|
"{qui,congruens}",prud. epil. 22 |1.5|
"{qui,congruo}",prud. epil. 22 |1.5|
"{qui,erilem}",prud. epil. 22 |1.6|
"{qui,erilis}",prud. epil. 22 |1.6|
"{qui,est}",prud. epil. 22 |1.2|
"{qui,intus}",prud. epil. 4 |1.5|
"{qui,mens}",prud. epil. 4 |1.3|
"{qui,sum}",prud. epil. 22 |1.2|
"{qui,usum}",prud. epil. 22 |1.4|
"{qui,usus}",prud. epil. 22 |1.4|
"{qui,utor}",prud. epil. 22 |1.4|
"{quibus,abundat}",prud. epil. 4 |1.4|
"{quibus,abundo}",prud. epil. 4 |1.4|
"{quibus,beata}",prud. epil. 4 |1.2|
"{quibus,beatum}",prud. epil. 4 |1.2|
"{quibus,beatus}",prud. epil. 4 |1.2|
"{quibus,beo}",prud. epil. 4 |1.2|
"{quibus,intus}",prud. epil. 4 |1.5|
"{quibus,mens}",prud. epil. 4 |1.3|
"{quidquid,accidit}",prud. epil. 33 |1.3|
"{quidquid,accido}",prud. epil. 33 |1.3|
"{quidquid,ille}",prud. epil. 33 |1.2|
"{quidquid,illud}",prud. epil. 33 |1.2|
"{quis,abundat}",prud. epil. 4 |1.4|
"{quis,abundo}",prud. epil. 4 |1.4|
"{quis,ad}",prud. epil. 22 |1.3|
"{quis,beata}",prud. epil. 4 |1.2|
"{quis,beatum}",prud. epil. 4 |1.2|
"{quis,beatus}",prud. epil. 4 |1.2|
"{quis,beo}",prud. epil. 4 |1.2|
"{quis,congruens}",prud. epil. 22 |1.5|
"{quis,congruo}",prud. epil. 22 |1.5|
"{quis,erilem}",prud. epil. 22 |1.6|
"{quis,erilis}",prud. epil. 22 |1.6|
"{quis,est}",prud. epil. 22 |1.2|
"{quis,intus}",prud. epil. 4 |1.5|
"{quis,mens}",prud. epil. 4 |1.3|
"{quis,sum}",prud. epil. 22 |1.2|
"{quis,usum}",prud. epil. 22 |1.4|
"{quis,usus}",prud. epil. 22 |1.4|
"{quis,utor}",prud. epil. 22 |1.4|
"{quisquis,accidit}",prud. epil. 33 |1.3|
"{quisquis,accido}",prud. epil. 33 |1.3|
"{quisquis,ille}",prud. epil. 33 |1.2|
"{quisquis,illud}",prud. epil. 33 |1.2|
"{quod,ad}",prud. epil. 22 |1.3|
"{quod,congruens}",prud. epil. 22 |1.5|
"{quod,congruo}",prud. epil. 22 |1.5|
"{quod,erilem}",prud. epil. 22 |1.6|
"{quod,erilis}",prud. epil. 22 |1.6|
"{quod,est}",prud. epil. 22 |1.2|
"{quod,sum}",prud. epil. 22 |1.2|
"{quod,usum}",prud. epil. 22 |1.4|
"{quod,usus}",prud. epil. 22 |1.4|
"{quod,utor}",prud. epil. 22 |1.4|
"{recidit,egeni}",prud. epil. 6 |1.4|
"{recidit,egenus}",prud. epil. 6 |1.4|
"{recidit,uictitent}",prud. epil. 6 |1.3|
"{recidit,unde}",prud. epil. 6 |1.2|
"{recido,egeni}",prud. epil. 6 |1.4|
"{recido,egenus}",prud. epil. 6 |1.4|
"{recido,uictitent}",prud. epil. 6 |1.3|
"{recido,unde}",prud. epil. 6 |1.2|
"{regia,salus}",prud. epil. 30 |3.4|
"{regia,salutis}",prud. epil. 30 |3.4|
"{regiam,salus}",prud. epil. 30 |3.4|
"{regiam,salutis}",prud. epil. 30 |3.4|
"{regius,salus}",prud. epil. 30 |3.4|
"{regius,salutis}",prud. epil. 30 |3.4|
"{rotatiles,trochaeos}",prud. epil. 8 |3.4|
"{rotatiles,trochaeus}",prud. epil. 8 |3.4|
"{rotatilis,trochaeos}",prud. epil. 8 |3.4|
"{rotatilis,trochaeus}",prud. epil. 8 |3.4|
"{sacramus,et}",prud. epil. 8 |1.2|
"{sacramus,rotatiles}",prud. epil. 8 |1.3|
"{sacramus,rotatilis}",prud. epil. 8 |1.3|
"{sacramus,trochaeos}",prud. epil. 8 |1.4|
"{sacramus,trochaeus}",prud. epil. 8 |1.4|
"{sacro,et}",prud. epil. 8 |1.2|
"{sacro,rotatiles}",prud. epil. 8 |1.3|
"{sacro,rotatilis}",prud. epil. 8 |1.3|
"{sacro,trochaeos}",prud. epil. 8 |1.4|
"{sacro,trochaeus}",prud. epil. 8 |1.4|
"{sanctitas,indigi}",prud. epil. 9 |1.2|
"{sanctitas,indigus}",prud. epil. 9 |1.2|
"{sanctitatis,indigi}",prud. epil. 9 |1.2|
"{sanctitatis,indigus}",prud. epil. 9 |1.2|
"{sic,ligno}",prud. epil. 24 |4.6|
"{sic,lignum}",prud. epil. 24 |4.6|
"{sic,parata}",prud. epil. 24 |4.5|
"{sic,paratus}",prud. epil. 24 |4.5|
"{sic,paro}",prud. epil. 24 |4.5|
"{sinitque,anguli}",prud. epil. 28 |1.4|
"{sinitque,angulus}",prud. epil. 28 |1.4|
"{sinitque,in}",prud. epil. 28 |1.3|
"{sinitque,maneo}",prud. epil. 28 |1.5|
"{sinitque,manere}",prud. epil. 28 |1.5|
"{sinitque,mano}",prud. epil. 28 |1.5|
"{sinitque,pario}",prud. epil. 28 |1.2|
"{sinitque,pars}",prud. epil. 28 |1.2|
"{sinitque,parte}",prud. epil. 28 |1.2|
"{sino,anguli}",prud. epil. 28 |1.4|
"{sino,angulos}",prud. epil. 14 |1.5|
"{sino,angulus}","prud. epil. 14 |1.5| , prud. epil. 28 |1.4|"
"{sino,est}",prud. epil. 14 |1.2|
"{sino,in}",prud. epil. 28 |1.3|
"{sino,maneo}",prud. epil. 28 |1.5|
"{sino,manere}",prud. epil. 28 |1.5|
"{sino,mano}",prud. epil. 28 |1.5|
"{sino,omnes}",prud. epil. 14 |1.4|
"{sino,omnis}",prud. epil. 14 |1.4|
"{sino,pario}",prud. epil. 28 |1.2|
"{sino,pars}",prud. epil. 28 |1.2|
"{sino,parte}",prud. epil. 28 |1.2|
"{sino,per}",prud. epil. 14 |1.3|
"{sino,sum}",prud. epil. 14 |1.2|
"{sino,supellex}",prud. epil. 14 |1.6|
"{sita,angulos}",prud. epil. 14 |1.5|
"{sita,angulus}",prud. epil. 14 |1.5|
"{sita,est}",prud. epil. 14 |1.2|
"{sita,omnes}",prud. epil. 14 |1.4|
"{sita,omnis}",prud. epil. 14 |1.4|
"{sita,per}",prud. epil. 14 |1.3|
"{sita,sum}",prud. epil. 14 |1.2|
"{sita,supellex}",prud. epil. 14 |1.6|
"{sum,ad}",prud. epil. 22 |2.3|
"{sum,angulos}",prud. epil. 14 |2.5|
"{sum,angulus}",prud. epil. 14 |2.5|
"{sum,cauata}",prud. epil. 20 |3.4|
"{sum,cauo}",prud. epil. 20 |3.4|
"{sum,congruens}",prud. epil. 22 |2.5|
"{sum,congruo}",prud. epil. 22 |2.5|
"{sum,eburna}",prud. epil. 19 |1.2|
"{sum,eburnus}",prud. epil. 19 |1.2|
"{sum,erilem}",prud. epil. 22 |2.6|
"{sum,erilis}",prud. epil. 22 |2.6|
"{sum,et}","prud. epil. 17 |1.2| , prud. epil. 20 |3.5|"
"{sum,fictilis}",prud. epil. 17 |1.4|
"{sum,ille}",prud. epil. 17 |1.3|
"{sum,olla}",prud. epil. 17 |1.3|
"{sum,ollus}",prud. epil. 17 |1.3|
"{sum,omnes}",prud. epil. 14 |2.4|
"{sum,omnis}",prud. epil. 14 |2.4|
"{sum,parapsis}",prud. epil. 18 |5.6|
"{sum,per}",prud. epil. 14 |2.3|
"{sum,quaepiam}",prud. epil. 19 |1.3|
"{sum,supellex}",prud. epil. 14 |2.6|
"{sum,ulmo}",prud. epil. 20 |3.6|
"{sum,ulmus}",prud. epil. 20 |3.6|
"{sum,usum}",prud. epil. 22 |2.4|
"{sum,usus}",prud. epil. 22 |2.4|
"{sum,utor}",prud. epil. 22 |2.4|
"{sunt,cauata}",prud. epil. 20 |3.4|
"{sunt,cauo}",prud. epil. 20 |3.4|
"{sunt,eburna}",prud. epil. 19 |1.2|
"{sunt,eburnus}",prud. epil. 19 |1.2|
"{sunt,et}",prud. epil. 20 |3.5|
"{sunt,quaepiam}",prud. epil. 19 |1.3|
"{sunt,ulmo}",prud. epil. 20 |3.6|
"{sunt,ulmus}",prud. epil. 20 |3.6|
"{tamen,deus}",prud. epil. 11 |2.3|
"{uas,fio}",prud. epil. 21 |2.3|
"{uas,fit}",prud. epil. 21 |2.3|
"{uas,utile}",prud. epil. 21 |2.4|
"{uas,utilis}",prud. epil. 21 |2.4|
"{uasculum,caducis}",prud. epil. 26 |3.4|
"{uasculum,caducum}",prud. epil. 26 |3.4|
"{uasculum,caducus}",prud. epil. 26 |3.4|
"{uel,inferus}",prud. epil. 31 |2.3|
"{uel,infimam}",prud. epil. 31 |2.3|
"{uictitent,egeni}",prud. epil. 6 |3.4|
"{uictitent,egenus}",prud. epil. 6 |3.4|
"{unde,egeni}",prud. epil. 6 |2.4|
"{unde,egenus}",prud. epil. 6 |2.4|
"{unde,uictitent}",prud. epil. 6 |2.3|
"{usum,congruens}",prud. epil. 22 |4.5|
"{usum,congruo}",prud. epil. 22 |4.5|
"{usum,erilem}",prud. epil. 22 |4.6|
"{usum,erilis}",prud. epil. 22 |4.6|
"{usus,congruens}",prud. epil. 22 |4.5|
"{usus,congruo}",prud. epil. 22 |4.5|
"{usus,erilem}",prud. epil. 22 |4.6|
"{usus,erilis}",prud. epil. 22 |4.6|
"{ut,caducis}",prud. epil. 26 |1.4|
"{ut,caducum}",prud. epil. 26 |1.4|
"{ut,caducus}",prud. epil. 26 |1.4|
"{ut,emo}",prud. epil. 24 |1.2|
"{ut,empta}",prud. epil. 24 |1.2|
"{ut,emptum}",prud. epil. 24 |1.2|
"{ut,ligno}",prud. epil. 24 |1.6|
"{ut,lignum}",prud. epil. 24 |1.6|
"{ut,magno}",prud. epil. 24 |1.3|
"{ut,magnus}",prud. epil. 24 |1.3|
"{ut,obsolesco}",prud. epil. 26 |1.2|
"{ut,obsoletum}",prud. epil. 26 |1.2|
"{ut,parata}",prud. epil. 24 |1.5|
"{ut,paratus}",prud. epil. 24 |1.5|
"{ut,paro}",prud. epil. 24 |1.5|
"{ut,sic}",prud. epil. 24 |1.4|
"{ut,uasculum}",prud. epil. 26 |1.3|
"{utor,congruens}",prud. epil. 22 |4.5|
"{utor,congruo}",prud. epil. 22 |4.5|
"{utor,erilem}",prud. epil. 22 |4.6|
"{utor,erilis}",prud. epil. 22 |4.6|
