n-gram (n =3),Location
"{sunt,et,ulmus}",prud. epil. 20 |3.5.6|
"{uas,fio,utile}",prud. epil. 21 |2.3.4|
"{uas,fio,utilis}",prud. epil. 21 |2.3.4|
"{uas,fit,utile}",prud. epil. 21 |2.3.4|
"{uas,fit,utilis}",prud. epil. 21 |2.3.4|
"{unde,uictitent,egeni}",prud. epil. 6 |2.3.4|
"{unde,uictitent,egenus}",prud. epil. 6 |2.3.4|
"{usum,congruens,erilem}",prud. epil. 22 |4.5.6|
"{usum,congruens,erilis}",prud. epil. 22 |4.5.6|
"{usum,congruo,erilem}",prud. epil. 22 |4.5.6|
"{usum,congruo,erilis}",prud. epil. 22 |4.5.6|
"{usus,congruens,erilem}",prud. epil. 22 |4.5.6|
"{usus,congruens,erilis}",prud. epil. 22 |4.5.6|
"{usus,congruo,erilem}",prud. epil. 22 |4.5.6|
"{usus,congruo,erilis}",prud. epil. 22 |4.5.6|
"{ut,emo,ligno}",prud. epil. 24 |1.2.6|
"{ut,emo,lignum}",prud. epil. 24 |1.2.6|
"{ut,emo,magno}",prud. epil. 24 |1.2.3|
"{ut,emo,magnus}",prud. epil. 24 |1.2.3|
"{ut,emo,parata}",prud. epil. 24 |1.2.5|
"{ut,emo,paratus}",prud. epil. 24 |1.2.5|
"{ut,emo,paro}",prud. epil. 24 |1.2.5|
"{ut,emo,sic}",prud. epil. 24 |1.2.4|
"{ut,empta,ligno}",prud. epil. 24 |1.2.6|
"{ut,empta,lignum}",prud. epil. 24 |1.2.6|
"{ut,empta,magno}",prud. epil. 24 |1.2.3|
"{ut,empta,magnus}",prud. epil. 24 |1.2.3|
"{ut,empta,parata}",prud. epil. 24 |1.2.5|
"{ut,empta,paratus}",prud. epil. 24 |1.2.5|
"{ut,empta,paro}",prud. epil. 24 |1.2.5|
"{ut,empta,sic}",prud. epil. 24 |1.2.4|
"{ut,emptum,ligno}",prud. epil. 24 |1.2.6|
"{ut,emptum,lignum}",prud. epil. 24 |1.2.6|
"{ut,emptum,magno}",prud. epil. 24 |1.2.3|
"{ut,emptum,magnus}",prud. epil. 24 |1.2.3|
"{ut,emptum,parata}",prud. epil. 24 |1.2.5|
"{ut,emptum,paratus}",prud. epil. 24 |1.2.5|
"{ut,emptum,paro}",prud. epil. 24 |1.2.5|
"{ut,emptum,sic}",prud. epil. 24 |1.2.4|
"{ut,magno,ligno}",prud. epil. 24 |1.3.6|
"{ut,magno,lignum}",prud. epil. 24 |1.3.6|
"{ut,magno,parata}",prud. epil. 24 |1.3.5|
"{ut,magno,paratus}",prud. epil. 24 |1.3.5|
"{ut,magno,paro}",prud. epil. 24 |1.3.5|
"{ut,magno,sic}",prud. epil. 24 |1.3.4|
"{ut,magnus,ligno}",prud. epil. 24 |1.3.6|
"{ut,magnus,lignum}",prud. epil. 24 |1.3.6|
"{ut,magnus,parata}",prud. epil. 24 |1.3.5|
"{ut,magnus,paratus}",prud. epil. 24 |1.3.5|
"{ut,magnus,paro}",prud. epil. 24 |1.3.5|
"{ut,magnus,sic}",prud. epil. 24 |1.3.4|
"{ut,obsolesco,caducis}",prud. epil. 26 |1.2.4|
"{ut,obsolesco,caducum}",prud. epil. 26 |1.2.4|
"{ut,obsolesco,caducus}",prud. epil. 26 |1.2.4|
"{ut,obsolesco,uasculum}",prud. epil. 26 |1.2.3|
"{ut,obsoletum,caducis}",prud. epil. 26 |1.2.4|
"{ut,obsoletum,caducum}",prud. epil. 26 |1.2.4|
"{ut,obsoletum,caducus}",prud. epil. 26 |1.2.4|
"{ut,obsoletum,uasculum}",prud. epil. 26 |1.2.3|
"{ut,parata,ligno}",prud. epil. 24 |1.5.6|
"{ut,parata,lignum}",prud. epil. 24 |1.5.6|
"{ut,paratus,ligno}",prud. epil. 24 |1.5.6|
"{ut,paratus,lignum}",prud. epil. 24 |1.5.6|
"{ut,paro,ligno}",prud. epil. 24 |1.5.6|
"{ut,paro,lignum}",prud. epil. 24 |1.5.6|
"{ut,sic,ligno}",prud. epil. 24 |1.4.6|
"{ut,sic,lignum}",prud. epil. 24 |1.4.6|
"{ut,sic,parata}",prud. epil. 24 |1.4.5|
"{ut,sic,paratus}",prud. epil. 24 |1.4.5|
"{ut,sic,paro}",prud. epil. 24 |1.4.5|
"{ut,uasculum,caducis}",prud. epil. 26 |1.3.4|
"{ut,uasculum,caducum}",prud. epil. 26 |1.3.4|
"{ut,uasculum,caducus}",prud. epil. 26 |1.3.4|
"{utor,congruens,erilem}",prud. epil. 22 |4.5.6|
"{utor,congruens,erilis}",prud. epil. 22 |4.5.6|
"{utor,congruo,erilem}",prud. epil. 22 |4.5.6|
"{utor,congruo,erilis}",prud. epil. 22 |4.5.6|
