n-gram (n =2),Location
"{degeneret,facto}",prud. ham. 2.645 |1.2|
"{degeneret,factum}",prud. ham. 2.645 |1.2|
"{degeneret,inquinet}",prud. ham. 2.645 |1.6|
"{degeneret,inquino}",prud. ham. 2.645 |1.6|
"{degeneret,manus}",prud. ham. 2.645 |1.5|
"{degeneret,nec}",prud. ham. 2.645 |1.3|
"{degeneret,neque}",prud. ham. 2.645 |1.3|
"{degeneret,se}",prud. ham. 2.645 |1.4|
"{degeneret,sui}",prud. ham. 2.645 |1.4|
"{degeneret,ullo}",prud. ham. 2.645 |1.7|
"{degeneret,ullus}",prud. ham. 2.645 |1.7|
"{degenero,facio}",prud. ham. 2.645 |1.2|
"{degenero,facto}",prud. ham. 2.645 |1.2|
"{degenero,factum}",prud. ham. 2.645 |1.2|
"{degenero,inquinet}",prud. ham. 2.645 |1.6|
"{degenero,inquino}",prud. ham. 2.645 |1.6|
"{degenero,lingua}",prud. ham. 2.457 |1.2|
"{degenero,linguamque}",prud. ham. 2.457 |1.2|
"{degenero,manus}",prud. ham. 2.645 |1.5|
"{degenero,nec}",prud. ham. 2.645 |1.3|
"{degenero,neque}",prud. ham. 2.645 |1.3|
"{degenero,nouam}",prud. ham. 2.457 |1.3|
"{degenero,nouus}",prud. ham. 2.457 |1.3|
"{degenero,se}",prud. ham. 2.645 |1.4|
"{degenero,sequor}",prud. ham. 2.457 |1.5|
"{degenero,sequuntur}",prud. ham. 2.457 |1.5|
"{degenero,sui}",prud. ham. 2.645 |1.4|
"{degenero,uestemque}",prud. ham. 2.457 |1.4|
"{degenero,uestis}",prud. ham. 2.457 |1.4|
"{degenero,ullo}",prud. ham. 2.645 |1.7|
"{degenero,ullus}",prud. ham. 2.645 |1.7|
"{dei,artus}",prud. ham. 2.635 |2.6|
"{dei,aucto}",prud. ham. 2.575 |2.7|
"{dei,auctor}",prud. ham. 2.575 |2.7|
"{dei,conditio}",prud. ham. 2.191 |2.5|
"{dei,conditioni}",prud. ham. 2.191 |2.5|
"{dei,conditor}",prud. ham. 2.2 |3.5|
"{dei,dignata}",prud. ham. 2.63 |3.4|
"{dei,digno}",prud. ham. 2.63 |3.4|
"{dei,dominum}",prud. ham. 2.191 |2.3|
"{dei,dominus}",prud. ham. 2.191 |2.3|
"{dei,dupla}",prud. ham. 2.731 |3.6|
"{dei,duplo}",prud. ham. 2.731 |3.6|
"{dei,duplum}",prud. ham. 2.731 |3.6|
"{dei,duplus}",prud. ham. 2.731 |3.6|
"{dei,est}","prud. ham. 2.63 |3.5| , prud. ham. 2.665 |4.5|"
"{dei,et}",prud. ham. 2.575 |2.5|
"{dei,fuco}",prud. ham. 2.274 |3.6|
"{dei,fucus}",prud. ham. 2.274 |3.6|
"{dei,fundo}",prud. ham. 2.635 |2.3|
"{dei,fusam}",prud. ham. 2.635 |2.3|
"{dei,imagine}",prud. ham. 2.731 |3.5|
"{dei,imago}",prud. ham. 2.731 |3.5|
"{dei,iste}",prud. ham. 2.665 |4.8|
"{dei,mediasque}",prud. ham. 2.475 |4.5|
"{dei,medio}",prud. ham. 2.475 |4.5|
"{dei,medius}",prud. ham. 2.475 |4.5|
"{dei,mereo}",prud. ham. 2.665 |4.6|
"{dei,mereor}",prud. ham. 2.665 |4.6|
"{dei,meritis}",prud. ham. 2.665 |4.6|
"{dei,meritum}",prud. ham. 2.665 |4.6|
"{dei,pareo}",prud. ham. 2.575 |2.4|
"{dei,pariturae}",prud. ham. 2.575 |2.4|
"{dei,per}",prud. ham. 2.635 |2.4|
"{dei,pereo}",prud. ham. 2.665 |4.7|
"{dei,perit}",prud. ham. 2.665 |4.7|
"{dei,plasma}",prud. ham. 2.274 |3.5|
"{dei,plasmata}",prud. ham. 2.274 |3.5|
"{dei,plasmo}",prud. ham. 2.274 |3.5|
"{dei,prodere}",prud. ham. 2.63 |3.6|
"{dei,prodo}",prud. ham. 2.63 |3.6|
"{dei,quae}",prud. ham. 2.274 |3.4|
"{dei,qui}","prud. ham. 2.191 |2.4| , prud. ham. 2.274 |3.4|"
"{dei,quis}","prud. ham. 2.191 |2.4| , prud. ham. 2.274 |3.4|"
"{dei,quisque}",prud. ham. 2.191 |2.4|
"{dei,quoque}",prud. ham. 2.191 |2.4|
"{dei,signis}",prud. ham. 2.63 |3.7|
"{dei,signum}",prud. ham. 2.63 |3.7|
"{dei,sub}",prud. ham. 2.731 |3.4|
"{dei,sum}","prud. ham. 2.63 |3.5| , prud. ham. 2.665 |4.5|"
"{dei,tenebrae}",prud. ham. 2.475 |4.6|
"{dei,tenebras}",prud. ham. 2.475 |4.6|
"{dei,tenebro}",prud. ham. 2.475 |4.6|
"{dei,tibi}",prud. ham. 2.2 |3.4|
"{dei,tu}",prud. ham. 2.2 |3.4|
"{dei,uates}",prud. ham. 2.575 |2.3|
"{dei,uirginis}","prud. ham. 2.575 |2.6| , prud. ham. 2.635 |2.5|"
"{dei,uirgo}","prud. ham. 2.575 |2.6| , prud. ham. 2.635 |2.5|"
"{dei,unus}",prud. ham. 2.2 |3.6|
"{deinde,innoxio}",prud. ham. 1.21 |2.4|
"{deinde,innoxius}",prud. ham. 1.21 |2.4|
"{deinde,manon}",prud. ham. 1.14 |2.4|
"{deinde,manos}",prud. ham. 1.14 |2.4|
"{deinde,manum}",prud. ham. 1.14 |2.4|
"{deinde,manus}",prud. ham. 1.14 |2.4|
"{deinde,parricidalem}",prud. ham. 1.14 |2.3|
"{deinde,uulnerato}",prud. ham. 1.21 |2.3|
"{deinde,uulnero}",prud. ham. 1.21 |2.3|
"{deitas,contendo}",prud. ham. 2.96 |4.5|
"{deitas,contenta}",prud. ham. 2.96 |4.5|
"{deitas,contentus}",prud. ham. 2.96 |4.5|
"{deitas,contineo}",prud. ham. 2.96 |4.5|
"{deitas,est}",prud. ham. 2.96 |4.7|
"{deitas,gemello}",prud. ham. 2.96 |4.6|
"{deitas,gemellus}",prud. ham. 2.96 |4.6|
"{deitas,sum}",prud. ham. 2.96 |4.7|
"{delentur,forma}",prud. ham. 2.884 |4.6|
"{delentur,formae}",prud. ham. 2.884 |4.6|
"{delentur,formus}",prud. ham. 2.884 |4.6|
"{delentur,tempore}",prud. ham. 2.884 |4.5|
"{delentur,tempus}",prud. ham. 2.884 |4.5|
"{deleo,forma}",prud. ham. 2.884 |4.6|
"{deleo,formae}",prud. ham. 2.884 |4.6|
"{deleo,formus}",prud. ham. 2.884 |4.6|
"{deleo,tempore}",prud. ham. 2.884 |4.5|
"{deleo,tempus}",prud. ham. 2.884 |4.5|
"{deleo,tyrannus}",prud. ham. 2.500 |5.6|
"{delere,tyrannus}",prud. ham. 2.500 |5.6|
"{deliciae,carna}",prud. ham. 2.854 |1.5|
"{deliciae,carni}",prud. ham. 2.854 |1.5|
"{deliciae,carnis}",prud. ham. 2.854 |1.5|
"{deliciae,caro}",prud. ham. 2.854 |1.5|
"{deliciae,diuorsoria}",prud. ham. 2.854 |1.4|
"{deliciae,et}",prud. ham. 2.328 |3.5|
"{deliciae,linea}",prud. ham. 2.328 |3.6|
"{deliciae,lineus}",prud. ham. 2.328 |3.6|
"{deliciae,multos}",prud. ham. 2.854 |1.2|
"{deliciae,multus}",prud. ham. 2.854 |1.2|
"{deliciae,pluma}",prud. ham. 2.328 |3.4|
"{deliciae,plumarum}",prud. ham. 2.328 |3.4|
"{deliciae,post}",prud. ham. 2.854 |1.3|
"{deliciae,texta}",prud. ham. 2.328 |3.7|
"{deliciae,textum}",prud. ham. 2.328 |3.7|
"{delicias,et}",prud. ham. 2.328 |3.5|
"{delicias,linea}",prud. ham. 2.328 |3.6|
"{delicias,lineus}",prud. ham. 2.328 |3.6|
"{delicias,pluma}",prud. ham. 2.328 |3.4|
"{delicias,plumarum}",prud. ham. 2.328 |3.4|
"{delicias,texta}",prud. ham. 2.328 |3.7|
"{delicias,textum}",prud. ham. 2.328 |3.7|
"{deliciis,carna}",prud. ham. 2.854 |1.5|
"{deliciis,carni}",prud. ham. 2.854 |1.5|
"{deliciis,carnis}",prud. ham. 2.854 |1.5|
"{deliciis,caro}",prud. ham. 2.854 |1.5|
"{deliciis,diuorsoria}",prud. ham. 2.854 |1.4|
"{deliciis,multos}",prud. ham. 2.854 |1.2|
"{deliciis,multus}",prud. ham. 2.854 |1.2|
"{deliciis,post}",prud. ham. 2.854 |1.3|
"{delicio,et}",prud. ham. 2.328 |3.5|
"{delicio,linea}",prud. ham. 2.328 |3.6|
"{delicio,lineus}",prud. ham. 2.328 |3.6|
"{delicio,pluma}",prud. ham. 2.328 |3.4|
"{delicio,plumarum}",prud. ham. 2.328 |3.4|
"{delicio,texta}",prud. ham. 2.328 |3.7|
"{delicio,textum}",prud. ham. 2.328 |3.7|
"{delicium,carna}",prud. ham. 2.854 |1.5|
"{delicium,carni}",prud. ham. 2.854 |1.5|
"{delicium,carnis}",prud. ham. 2.854 |1.5|
"{delicium,caro}",prud. ham. 2.854 |1.5|
"{delicium,diuorsoria}",prud. ham. 2.854 |1.4|
"{delicium,multos}",prud. ham. 2.854 |1.2|
"{delicium,multus}",prud. ham. 2.854 |1.2|
"{delicium,post}",prud. ham. 2.854 |1.3|
"{delicius,carna}",prud. ham. 2.854 |1.5|
"{delicius,carni}",prud. ham. 2.854 |1.5|
"{delicius,carnis}",prud. ham. 2.854 |1.5|
"{delicius,caro}",prud. ham. 2.854 |1.5|
"{delicius,diuorsoria}",prud. ham. 2.854 |1.4|
"{delicius,multos}",prud. ham. 2.854 |1.2|
"{delicius,multus}",prud. ham. 2.854 |1.2|
"{delicius,post}",prud. ham. 2.854 |1.3|
"{deliquia,carna}",prud. ham. 2.854 |1.5|
"{deliquia,carni}",prud. ham. 2.854 |1.5|
"{deliquia,carnis}",prud. ham. 2.854 |1.5|
"{deliquia,caro}",prud. ham. 2.854 |1.5|
"{deliquia,diuorsoria}",prud. ham. 2.854 |1.4|
"{deliquia,multos}",prud. ham. 2.854 |1.2|
"{deliquia,multus}",prud. ham. 2.854 |1.2|
"{deliquia,post}",prud. ham. 2.854 |1.3|
"{deliquio,armenta}",prud. ham. 2.751 |2.4|
"{deliquio,armentum}",prud. ham. 2.751 |2.4|
"{deliquio,quantum}",prud. ham. 2.751 |2.3|
"{deliquio,quantumque}",prud. ham. 2.751 |2.3|
"{deliquio,quantus}",prud. ham. 2.751 |2.3|
"{deliquio,sapor}",prud. ham. 2.751 |2.5|
"{deliquio,saporum}",prud. ham. 2.751 |2.5|
"{deliquio,saporus}",prud. ham. 2.751 |2.5|
"{deliquium,armenta}",prud. ham. 2.751 |2.4|
"{deliquium,armentum}",prud. ham. 2.751 |2.4|
"{deliquium,quantum}",prud. ham. 2.751 |2.3|
"{deliquium,quantumque}",prud. ham. 2.751 |2.3|
"{deliquium,quantus}",prud. ham. 2.751 |2.3|
"{deliquium,sapor}",prud. ham. 2.751 |2.5|
"{deliquium,saporum}",prud. ham. 2.751 |2.5|
"{deliquium,saporus}",prud. ham. 2.751 |2.5|
"{demissus,artus}",prud. ham. 2.528 |2.6|
"{demissus,si}",prud. ham. 2.528 |2.4|
"{demissus,subicio}",prud. ham. 2.528 |2.3|
"{demissus,subiectos}",prud. ham. 2.528 |2.3|
"{demissus,subiectus}",prud. ham. 2.528 |2.3|
"{demissus,uelit}",prud. ham. 2.528 |2.5|
"{demissus,uolo}",prud. ham. 2.528 |2.5|
"{demitto,artus}",prud. ham. 2.528 |2.6|
"{demitto,foramen}",prud. ham. 2.313 |1.4|
"{demitto,foramina}",prud. ham. 2.313 |1.4|
"{demitto,geminas}",prud. ham. 2.313 |1.2|
"{demitto,gemino}",prud. ham. 2.313 |1.2|
"{demitto,geminus}",prud. ham. 2.313 |1.2|
"{demitto,nares}",prud. ham. 2.313 |1.5|
"{demitto,naris}",prud. ham. 2.313 |1.5|
"{demitto,no}",prud. ham. 2.313 |1.5|
"{demitto,si}",prud. ham. 2.528 |2.4|
"{demitto,sociata}",prud. ham. 2.313 |1.3|
"{demitto,socio}",prud. ham. 2.313 |1.3|
"{demitto,subicio}",prud. ham. 2.528 |2.3|
"{demitto,subiectos}",prud. ham. 2.528 |2.3|
"{demitto,subiectus}",prud. ham. 2.528 |2.3|
"{demitto,uelit}",prud. ham. 2.528 |2.5|
"{demitto,uolo}",prud. ham. 2.528 |2.5|
"{demittunt,foramen}",prud. ham. 2.313 |1.4|
"{demittunt,foramina}",prud. ham. 2.313 |1.4|
"{demittunt,geminas}",prud. ham. 2.313 |1.2|
"{demittunt,gemino}",prud. ham. 2.313 |1.2|
"{demittunt,geminus}",prud. ham. 2.313 |1.2|
"{demittunt,nares}",prud. ham. 2.313 |1.5|
"{demittunt,naris}",prud. ham. 2.313 |1.5|
"{demittunt,no}",prud. ham. 2.313 |1.5|
"{demittunt,sociata}",prud. ham. 2.313 |1.3|
"{demittunt,socio}",prud. ham. 2.313 |1.3|
"{denegans,deum}",prud. ham. 1.62 |3.5|
"{denegans,deus}",prud. ham. 1.62 |3.5|
"{denegans,unum}",prud. ham. 1.62 |3.4|
"{denegans,unus}",prud. ham. 1.62 |3.4|
"{denego,deum}",prud. ham. 1.62 |3.5|
"{denego,deus}",prud. ham. 1.62 |3.5|
"{denego,unum}",prud. ham. 1.62 |3.4|
"{denego,unus}",prud. ham. 1.62 |3.4|
"{denique,caecis}",prud. ham. 2.140 |4.5|
"{denique,caecus}",prud. ham. 2.140 |4.5|
"{denique,si}",prud. ham. 2.484 |1.2|
"{denique,structam}",prud. ham. 2.484 |1.3|
"{denique,structus}",prud. ham. 2.484 |1.3|
"{denique,struo}",prud. ham. 2.484 |1.3|
"{denique,sudor}",prud. ham. 2.484 |1.5|
"{denique,sudoribus}",prud. ham. 2.484 |1.5|
"{denique,tantis}",prud. ham. 2.484 |1.4|
"{denique,tantus}",prud. ham. 2.484 |1.4|
"{denique,urbem}",prud. ham. 2.484 |1.6|
"{denique,urbs}",prud. ham. 2.484 |1.6|
"{dens,calumnia}",prud. ham. 2.638 |2.5|
"{dens,cmoritur}",prud. ham. 2.583 |1.2|
"{dens,fundo}",prud. ham. 2.583 |1.3|
"{dens,fusae}",prud. ham. 2.583 |1.3|
"{dens,obnitens}",prud. ham. 2.638 |2.3|
"{dens,obnitor}",prud. ham. 2.638 |2.3|
"{dens,per}",prud. ham. 2.583 |1.4|
"{dens,proles}",prud. ham. 2.583 |1.6|
"{dens,prolis}",prud. ham. 2.583 |1.6|
"{dens,pugnet}",prud. ham. 2.638 |2.6|
"{dens,pugno}",prud. ham. 2.638 |2.6|
"{dens,spinosa}",prud. ham. 2.638 |2.4|
"{dens,spinosus}",prud. ham. 2.638 |2.4|
"{dens,uiscera}",prud. ham. 2.583 |1.5|
"{densa,errantibus}",prud. ham. 2.134 |3.5|
"{densa,erro}",prud. ham. 2.134 |3.5|
"{densa,hydris}",prud. ham. 2.134 |3.6|
"{densa,hydrus}",prud. ham. 2.134 |3.6|
"{densa,umeros}",prud. ham. 2.134 |3.4|
"{densa,umerus}",prud. ham. 2.134 |3.4|
"{denseta,grauentur}",prud. ham. 2.908 |4.5|
"{denseta,grauo}",prud. ham. 2.908 |4.5|
"{densis,rura}",prud. ham. 2.227 |3.6|
"{densis,ruro}",prud. ham. 2.227 |3.6|
"{densis,rus}",prud. ham. 2.227 |3.6|
"{densis,uallentur}",prud. ham. 2.227 |3.4|
"{densis,uallo}",prud. ham. 2.227 |3.4|
"{densis,uitea}",prud. ham. 2.227 |3.5|
"{densis,uiteus}",prud. ham. 2.227 |3.5|
"{denso,conglobatam}",prud. ham. 1.52 |2.3|
"{denso,conglobo}",prud. ham. 1.52 |2.3|
"{denso,et}",prud. ham. 1.52 |2.4|
"{denso,gutta}",prud. ham. 2.871 |4.6|
"{denso,guttae}",prud. ham. 2.871 |4.6|
"{denso,puluere}",prud. ham. 1.52 |2.5|
"{denso,puluis}",prud. ham. 1.52 |2.5|
"{denso,uegetamine}",prud. ham. 2.871 |4.5|
"{densus,aer’}",prud. ham. 2.516 |3.6|
"{densus,conglobatam}",prud. ham. 1.52 |2.3|
"{densus,conglobo}",prud. ham. 1.52 |2.3|
"{densus,errantibus}",prud. ham. 2.134 |3.5|
"{densus,erro}",prud. ham. 2.134 |3.5|
"{densus,et}",prud. ham. 1.52 |2.4|
"{densus,gutta}",prud. ham. 2.871 |4.6|
"{densus,guttae}",prud. ham. 2.871 |4.6|
"{densus,hydris}",prud. ham. 2.134 |3.6|
"{densus,hydrus}",prud. ham. 2.134 |3.6|
"{densus,nebula}",prud. ham. 2.516 |3.4|
"{densus,nebulis}",prud. ham. 2.516 |3.4|
"{densus,obtemperat}",prud. ham. 2.516 |3.5|
"{densus,obtempero}",prud. ham. 2.516 |3.5|
"{densus,puluere}",prud. ham. 1.52 |2.5|
"{densus,puluis}",prud. ham. 1.52 |2.5|
"{densus,rura}",prud. ham. 2.227 |3.6|
"{densus,ruro}",prud. ham. 2.227 |3.6|
"{densus,rus}",prud. ham. 2.227 |3.6|
"{densus,uallentur}",prud. ham. 2.227 |3.4|
"{densus,uallo}",prud. ham. 2.227 |3.4|
"{densus,uegetamine}",prud. ham. 2.871 |4.5|
"{densus,uitea}",prud. ham. 2.227 |3.5|
"{densus,uiteus}",prud. ham. 2.227 |3.5|
"{densus,umeros}",prud. ham. 2.134 |3.4|
"{densus,umerus}",prud. ham. 2.134 |3.4|
"{dente,calumnia}",prud. ham. 2.638 |2.5|
"{dente,obnitens}",prud. ham. 2.638 |2.3|
"{dente,obnitor}",prud. ham. 2.638 |2.3|
"{dente,pugnet}",prud. ham. 2.638 |2.6|
"{dente,pugno}",prud. ham. 2.638 |2.6|
"{dente,spinosa}",prud. ham. 2.638 |2.4|
"{dente,spinosus}",prud. ham. 2.638 |2.4|
"{dentibus,cmoritur}",prud. ham. 2.583 |1.2|
"{dentibus,fundo}",prud. ham. 2.583 |1.3|
"{dentibus,fusae}",prud. ham. 2.583 |1.3|
"{dentibus,per}",prud. ham. 2.583 |1.4|
"{dentibus,proles}",prud. ham. 2.583 |1.6|
"{dentibus,prolis}",prud. ham. 2.583 |1.6|
"{dentibus,uiscera}",prud. ham. 2.583 |1.5|
"{deo,aequiperabile}",prud. ham. 2.79 |3.5|
"{deo,conuicia}",prud. ham. 2.656 |5.6|
"{deo,conuicior}",prud. ham. 2.656 |5.6|
"{deo,conuicium}",prud. ham. 2.656 |5.6|
"{deo,cuncta}",prud. ham. 2.182 |4.7|
"{deo,cunctor}",prud. ham. 2.182 |4.7|
"{deo,cunctus}",prud. ham. 2.182 |4.7|
"{deo,facio}",prud. ham. 2.182 |4.5|
"{deo,factum}",prud. ham. 2.182 |4.5|
"{deo,factus}",prud. ham. 2.182 |4.5|
"{deo,ipse}",prud. ham. 2.182 |4.9|
"{deo,ipsum}",prud. ham. 2.182 |4.9|
"{deo,misceo}",prud. ham. 2.788 |3.5|
"{deo,miscuit}",prud. ham. 2.788 |3.5|
"{deo,mortales}",prud. ham. 2.788 |3.4|
"{deo,mortalis}",prud. ham. 2.788 |3.4|
"{deo,munerum}",prud. ham. 1.4 |1.3|
"{deo,munus}",prud. ham. 1.4 |1.3|
"{deo,obsequela}",prud. epil. 32 |1.2|
"{deo,obsequellam}",prud. epil. 32 |1.2|
"{deo,orior}",prud. ham. 2.788 |3.6|
"{deo,ortus}",prud. ham. 2.788 |3.6|
"{deo,pater}",prud. epil. 1 |2.3|
"{deo,patri}",prud. epil. 1 |2.3|
"{deo,patrium}",prud. epil. 1 |2.3|
"{deo,patrius}",prud. epil. 1 |2.3|
"{deo,per}",prud. ham. 2.182 |4.8|
"{deo,praestitisse}",prud. epil. 32 |1.3|
"{deo,praesto}",prud. epil. 32 |1.3|
"{deo,primordia}",prud. ham. 1.4 |1.4|
"{deo,primordium}",prud. ham. 1.4 |1.4|
"{deo,primordius}",prud. ham. 1.4 |1.4|
"{deo,prodest}",prud. epil. 32 |1.4|
"{deo,prodo}",prud. epil. 32 |1.4|
"{deo,prosum}",prud. epil. 32 |1.4|
"{deo,qui}","prud. ham. 2.343 |2.3| , prud. ham. 2.656 |5.7|"
"{deo,quidquam}",prud. ham. 2.79 |3.6|
"{deo,quis}","prud. ham. 2.343 |2.3| , prud. ham. 2.656 |5.7|"
"{deo,quisquam}",prud. ham. 2.79 |3.6|
"{deo,quod}",prud. ham. 2.343 |2.3|
"{deo,sacranda}",prud. ham. 1.4 |1.2|
"{deo,sacro}",prud. ham. 1.4 |1.2|
"{deo,sancio}",prud. ham. 2.343 |2.4|
"{deo,sanctus}",prud. ham. 2.343 |2.4|
"{deo,se}",prud. ham. 2.656 |5.8|
"{deo,sed}",prud. ham. 2.182 |4.6|
"{deo,sui}",prud. ham. 2.656 |5.8|
"{deo,uaticinator}",prud. ham. 2.343 |2.5|
"{deo,uelut}",prud. ham. 2.79 |3.4|
"{deopersuasit,anguis}",prud. ham. 2.711 |3.5|
"{deopersuasit,callidus}",prud. ham. 2.711 |3.4|
"{deorum,committit}",prud. ham. 1.46 |2.4|
"{deorum,committo}",prud. ham. 1.46 |2.4|
"{deorum,duo}",prud. ham. 1.46 |2.5|
"{deorum,sceptra}",prud. ham. 1.46 |2.3|
"{deorum,sceptrum}",prud. ham. 1.46 |2.3|
"{deos,cuique}",prud. ham. 2.105 |2.5|
"{deos,dispar}",prud. ham. 2.16 |3.5|
"{deos,dispare}",prud. ham. 2.16 |3.5|
"{deos,dispareo}",prud. ham. 2.16 |3.5|
"{deos,iura}",prud. ham. 2.105 |2.6|
"{deos,iuro}",prud. ham. 2.105 |2.6|
"{deos,ius}",prud. ham. 2.105 |2.6|
"{deos,natura}",prud. ham. 2.16 |3.4|
"{deos,proprios}",prud. ham. 2.105 |2.3|
"{deos,proprius}",prud. ham. 2.105 |2.3|
"{deos,quisque}",prud. ham. 2.105 |2.5|
"{deos,sua}",prud. ham. 2.105 |2.4|
"{deos,summos}",prud. ham. 2.16 |3.6|
"{deos,superus}",prud. ham. 2.16 |3.6|
"{deos,suus}",prud. ham. 2.105 |2.4|
"{depopulantur,enim}",prud. ham. 2.572 |1.2|
"{depopulantur,fecunda}",prud. ham. 2.572 |1.4|
"{depopulantur,fecundo}",prud. ham. 2.572 |1.4|
"{depopulantur,fecundus}",prud. ham. 2.572 |1.4|
"{depopulantur,nimium}",prud. ham. 2.572 |1.3|
"{depopulantur,nimius}",prud. ham. 2.572 |1.3|
"{depopulantur,parens}",prud. ham. 2.572 |1.5|
"{depopulantur,parentum}",prud. ham. 2.572 |1.5|
"{depopulor,enim}",prud. ham. 2.572 |1.2|
"{depopulor,fecunda}",prud. ham. 2.572 |1.4|
"{depopulor,fecundo}",prud. ham. 2.572 |1.4|
"{depopulor,fecundus}",prud. ham. 2.572 |1.4|
"{depopulor,nimium}",prud. ham. 2.572 |1.3|
"{depopulor,nimius}",prud. ham. 2.572 |1.3|
"{depopulor,parens}",prud. ham. 2.572 |1.5|
"{depopulor,parentum}",prud. ham. 2.572 |1.5|
"{deprehendo,boni}",prud. ham. 2.336 |1.3|
"{deprehendo,bonum}",prud. ham. 2.336 |1.3|
"{deprehendo,bonus}",prud. ham. 2.336 |1.3|
"{deprehendo,latitare}",prud. ham. 2.336 |1.2|
"{deprehendo,latito}",prud. ham. 2.336 |1.2|
"{deprehendo,mendacis}",prud. ham. 2.336 |1.4|
"{deprehendo,operio}",prud. ham. 2.336 |1.5|
"{deprehendo,operto}",prud. ham. 2.336 |1.5|
"{deprendit,boni}",prud. ham. 2.336 |1.3|
"{deprendit,bonum}",prud. ham. 2.336 |1.3|
"{deprendit,bonus}",prud. ham. 2.336 |1.3|
"{deprendit,latitare}",prud. ham. 2.336 |1.2|
"{deprendit,latito}",prud. ham. 2.336 |1.2|
"{deprendit,mendacis}",prud. ham. 2.336 |1.4|
"{deprendit,operio}",prud. ham. 2.336 |1.5|
"{deprendit,operto}",prud. ham. 2.336 |1.5|
"{deque,acerba}",prud. ham. 2.196 |2.6|
"{deque,acerbo}",prud. ham. 2.196 |2.6|
"{deque,acerbum}",prud. ham. 2.196 |2.6|
"{deque,acerbus}",prud. ham. 2.196 |2.6|
"{deque,acide}",prud. ham. 2.196 |2.3|
"{deque,acidis}",prud. ham. 2.196 |2.3|
"{deque,acidus}",prud. ham. 2.196 |2.3|
"{deque,acis}",prud. ham. 2.196 |2.3|
"{deque,colo}",prud. ham. 2.458 |1.5|
"{deque,cultu}",prud. ham. 2.458 |1.5|
"{deque,cultus}",prud. ham. 2.458 |1.5|
"{deque,disco}",prud. ham. 2.458 |1.3|
"{deque,discunt}",prud. ham. 2.458 |1.3|
"{deque,medulla}",prud. ham. 2.196 |2.7|
"{deque,medullis}",prud. ham. 2.196 |2.7|
"{deque,medullum}",prud. ham. 2.196 |2.7|
"{deque,medullus}",prud. ham. 2.196 |2.7|
"{deque,profanato}",prud. ham. 2.458 |1.2|
"{deque,profano}",prud. ham. 2.458 |1.2|
"{deque,sordescere}",prud. ham. 2.458 |1.4|
"{deque,sordesco}",prud. ham. 2.458 |1.4|
"{deque,traho}",prud. ham. 2.196 |2.5|
"{deque,traxit}",prud. ham. 2.196 |2.5|
"{deque,uim}",prud. ham. 2.196 |2.4|
"{deque,uis}",prud. ham. 2.196 |2.4|
"{descendat,aruum}",prud. ham. 2.805 |4.6|
"{descendat,aruus}",prud. ham. 2.805 |4.6|
"{descendat,in}",prud. ham. 2.805 |4.5|
"{descendo,aruum}",prud. ham. 2.805 |4.6|
"{descendo,aruus}",prud. ham. 2.805 |4.6|
"{descendo,in}",prud. ham. 2.805 |4.5|
"{deserit,adscribo}",prud. ham. 2.483 |1.2|
"{deserit,adscriptam}",prud. ham. 2.483 |1.2|
"{deserit,atqui}",prud. ham. 2.780 |1.3|
"{deserit,atquin}",prud. ham. 2.780 |1.3|
"{deserit,dimensa}",prud. ham. 2.483 |1.3|
"{deserit,dimetior}",prud. ham. 2.483 |1.3|
"{deserit,et}",prud. ham. 2.780 |1.5|
"{deserit,haec}",prud. ham. 2.780 |1.2|
"{deserit,hic}",prud. ham. 2.780 |1.2|
"{deserit,in}",prud. ham. 2.483 |1.4|
"{deserit,ipsa}",prud. ham. 2.837 |6.7|
"{deserit,ipse}",prud. ham. 2.837 |6.7|
"{deserit,iugali}",prud. ham. 2.780 |1.7|
"{deserit,iugalis}",prud. ham. 2.780 |1.7|
"{deserit,iugera}",prud. ham. 2.483 |1.5|
"{deserit,iugerum}",prud. ham. 2.483 |1.5|
"{deserit,lege}",prud. ham. 2.780 |1.6|
"{deserit,lego}",prud. ham. 2.780 |1.6|
"{deserit,lex}",prud. ham. 2.780 |1.6|
"{deserit,sors}",prud. ham. 2.483 |1.6|
"{deserit,sortem}",prud. ham. 2.483 |1.6|
"{deserit,thalamis}",prud. ham. 2.780 |1.4|
"{deserit,thalamus}",prud. ham. 2.780 |1.4|
"{desero,adscribo}",prud. ham. 2.483 |1.2|
"{desero,adscriptam}",prud. ham. 2.483 |1.2|
"{desero,atqui}",prud. ham. 2.780 |1.3|
"{desero,atquin}",prud. ham. 2.780 |1.3|
"{desero,dimensa}",prud. ham. 2.483 |1.3|
"{desero,dimetior}",prud. ham. 2.483 |1.3|
"{desero,et}",prud. ham. 2.780 |1.5|
"{desero,haec}",prud. ham. 2.780 |1.2|
"{desero,hic}",prud. ham. 2.780 |1.2|
"{desero,in}",prud. ham. 2.483 |1.4|
"{desero,ipsa}",prud. ham. 2.837 |6.7|
"{desero,ipse}",prud. ham. 2.837 |6.7|
"{desero,iugali}",prud. ham. 2.780 |1.7|
"{desero,iugalis}",prud. ham. 2.780 |1.7|
"{desero,iugera}",prud. ham. 2.483 |1.5|
"{desero,iugerum}",prud. ham. 2.483 |1.5|
"{desero,lege}",prud. ham. 2.780 |1.6|
"{desero,lego}",prud. ham. 2.780 |1.6|
