n-gram (n =2),Location
"{abductamue,pectore}",prud. ham. 2.899 |2.5|
"{abductamue,pectus}",prud. ham. 2.899 |2.5|
"{abductamue,uita}",prud. ham. 2.899 |2.6|
"{abductamue,uitam}",prud. ham. 2.899 |2.6|
"{abel,ante}",prud. ham. 1.23 |1.3|
"{abel,christum}",prud. ham. 1.23 |1.5|
"{abel,christus}",prud. ham. 1.23 |1.5|
"{abel,dehinc}",prud. ham. 1.23 |1.6|
"{abel,percello}",prud. ham. 1.23 |1.4|
"{abel,perculit}",prud. ham. 1.23 |1.4|
"{abel,qui}",prud. ham. 1.23 |1.2|
"{abel,quis}",prud. ham. 1.23 |1.2|
"{abel,quod}",prud. ham. 1.23 |1.2|
"{abessalon,crimen}",prud. ham. 2.577 |2.5|
"{abessalon,crimina}",prud. ham. 2.577 |2.5|
"{abessalon,crimino}",prud. ham. 2.577 |2.5|
"{abessalon,ferro}",prud. ham. 2.580 |2.6|
"{abessalon,ferrum}",prud. ham. 2.580 |2.6|
"{abessalon,ille}",prud. ham. 2.564 |2.5|
"{abessalon,iusta}",prud. ham. 2.577 |2.6|
"{abessalon,iustis}",prud. ham. 2.577 |2.6|
"{abessalon,iustus}",prud. ham. 2.577 |2.6|
"{abessalon,lacerans}",prud. ham. 2.580 |2.3|
"{abessalon,lacero}",prud. ham. 2.580 |2.3|
"{abessalon,pater}",prud. ham. 2.564 |2.4|
"{abessalon,pia}",prud. ham. 2.580 |2.4|
"{abessalon,pio}",prud. ham. 2.580 |2.4|
"{abessalon,pius}",prud. ham. 2.580 |2.4|
"{abessalon,sed}",prud. ham. 2.564 |2.6|
"{abessalon,sereret}",prud. ham. 2.577 |2.3|
"{abessalon,sero}",prud. ham. 2.577 |2.3|
"{abessalon,sua}",prud. ham. 2.577 |2.4|
"{abessalon,suus}",prud. ham. 2.577 |2.4|
"{abessalon,taeter}",prud. ham. 2.564 |2.3|
"{abessalon,taetrum}",prud. ham. 2.564 |2.3|
"{abessalon,uiscera}",prud. ham. 2.580 |2.5|
"{abessalon,unum}",prud. ham. 2.564 |2.7|
"{abessalon,unus}",prud. ham. 2.564 |2.7|
"{abigit,de}",prud. ham. 2.899 |3.4|
"{abigit,pectore}",prud. ham. 2.899 |3.5|
"{abigit,pectus}",prud. ham. 2.899 |3.5|
"{abigit,uita}",prud. ham. 2.899 |3.6|
"{abigit,uitam}",prud. ham. 2.899 |3.6|
"{abigo,de}",prud. ham. 2.899 |3.4|
"{abigo,pectore}",prud. ham. 2.899 |3.5|
"{abigo,pectus}",prud. ham. 2.899 |3.5|
"{abigo,uita}",prud. ham. 2.899 |3.6|
"{abigo,uitam}",prud. ham. 2.899 |3.6|
"{abluit,ante}",prud. ham. 2.668 |6.7|
"{abluit,probare}",prud. ham. 2.668 |6.8|
"{abluit,probo}",prud. ham. 2.668 |6.8|
"{abluo,ante}",prud. ham. 2.668 |6.7|
"{abluo,probare}",prud. ham. 2.668 |6.8|
"{abluo,probo}",prud. ham. 2.668 |6.8|
"{abolent,e}",prud. ham. 2.459 |2.4|
"{abolent,ex}",prud. ham. 2.459 |2.4|
"{abolent,pectore}",prud. ham. 2.459 |2.5|
"{abolent,pectus}",prud. ham. 2.459 |2.5|
"{abolent,petulans}",prud. ham. 2.459 |2.3|
"{abolent,petulanti}",prud. ham. 2.459 |2.3|
"{abolent,sion}",prud. ham. 2.459 |2.6|
"{aboleo,e}",prud. ham. 2.459 |2.4|
"{aboleo,ex}",prud. ham. 2.459 |2.4|
"{aboleo,grassarier}",prud. ham. 2.649 |2.5|
"{aboleo,longoque}",prud. ham. 2.649 |2.3|
"{aboleo,longus}",prud. ham. 2.649 |2.3|
"{aboleo,mereo}",prud. ham. 2.666 |2.5|
"{aboleo,meritum}",prud. ham. 2.666 |2.5|
"{aboleo,meritumque}",prud. ham. 2.666 |2.5|
"{aboleo,opus}",prud. ham. 2.666 |2.4|
"{aboleo,pectore}",prud. ham. 2.459 |2.5|
"{aboleo,pectus}",prud. ham. 2.459 |2.5|
"{aboleo,pereo}",prud. ham. 2.666 |2.3|
"{aboleo,pereuntis}",prud. ham. 2.666 |2.3|
"{aboleo,petulans}",prud. ham. 2.459 |2.3|
"{aboleo,petulanti}",prud. ham. 2.459 |2.3|
"{aboleo,resoluit}",prud. ham. 2.666 |2.6|
"{aboleo,resoluo}",prud. ham. 2.666 |2.6|
"{aboleo,sinit}",prud. ham. 2.649 |2.4|
"{aboleo,sino}",prud. ham. 2.649 |2.4|
"{aboleo,sion}",prud. ham. 2.459 |2.6|
"{aboleo,usu’}",prud. ham. 2.649 |2.6|
"{abolet,grassarier}",prud. ham. 2.649 |2.5|
"{abolet,longoque}",prud. ham. 2.649 |2.3|
"{abolet,longus}",prud. ham. 2.649 |2.3|
"{abolet,mereo}",prud. ham. 2.666 |2.5|
"{abolet,meritum}",prud. ham. 2.666 |2.5|
"{abolet,meritumque}",prud. ham. 2.666 |2.5|
"{abolet,opus}",prud. ham. 2.666 |2.4|
"{abolet,pereo}",prud. ham. 2.666 |2.3|
"{abolet,pereuntis}",prud. ham. 2.666 |2.3|
"{abolet,resoluit}",prud. ham. 2.666 |2.6|
"{abolet,resoluo}",prud. ham. 2.666 |2.6|
"{abolet,sinit}",prud. ham. 2.649 |2.4|
"{abolet,sino}",prud. ham. 2.649 |2.4|
"{abolet,usu’}",prud. ham. 2.649 |2.6|
"{abundat,intus}",prud. epil. 4 |4.5|
"{abundo,intus}",prud. epil. 4 |4.5|
"{ac,ad}",prud. ham. 2.845 |1.5|
"{ac,alter}",prud. ham. 2.37 |8.10|
"{ac,alto}",prud. ham. 2.37 |8.10|
"{ac,artifex}",prud. ham. 2.266 |1.3|
"{ac,artificis}",prud. ham. 2.266 |1.3|
"{ac,astra}",prud. ham. 2.845 |1.6|
"{ac,astrum}",prud. ham. 2.845 |1.6|
"{ac,caeca}",prud. ham. 2.628 |1.5|
"{ac,caeco}",prud. ham. 2.628 |1.5|
"{ac,caecus}",prud. ham. 2.628 |1.5|
"{ac,deus}",prud. ham. 2.37 |8.9|
"{ac,domini}",prud. ham. 2.266 |1.4|
"{ac,dominium}",prud. ham. 2.266 |1.4|
"{ac,dominus}",prud. ham. 2.266 |1.4|
"{ac,est}",prud. ham. 2.628 |1.9|
"{ac,facili}",prud. ham. 2.845 |1.3|
"{ac,facilis}",prud. ham. 2.845 |1.3|
"{ac,fors}",prud. ham. 2.804 |3.9|
"{ac,forte}",prud. ham. 2.804 |3.9|
"{ac,fortis}",prud. ham. 2.804 |3.9|
"{ac,hic}",prud. ham. 2.628 |1.8|
"{ac,hoc}",prud. ham. 2.628 |1.8|
"{ac,huc}",prud. ham. 2.628 |1.8|
"{ac,imperfectus}",prud. ham. 2.266 |1.6|
"{ac,inperfectum}",prud. ham. 2.266 |1.6|
"{ac,lactea}",prud. ham. 2.804 |3.8|
"{ac,lacteus}",prud. ham. 2.804 |3.8|
"{ac,libido}",prud. ham. 2.628 |1.6|
"{ac,manus}",prud. ham. 2.266 |1.5|
"{ac,moenia}",prud. ham. 2.493 |4.6|
"{ac,mundum}",prud. ham. 2.548 |2.6|
"{ac,mundus}",prud. ham. 2.548 |2.6|
"{ac,munia}",prud. ham. 2.493 |4.6|
"{ac,olim}",prud. ham. 2.804 |3.5|
"{ac,omnia}",prud. ham. 2.29 |3.6|
"{ac,omnis}",prud. ham. 2.29 |3.6|
"{ac,opus’}",prud. ham. 2.628 |1.3|
"{ac,per}",prud. ham. 2.804 |3.6|
"{ac,perdo}",prud. ham. 2.885 |5.7|
"{ac,perdunt}",prud. ham. 2.885 |5.7|
"{ac,pietas}",prud. ham. 2.628 |1.2|
"{ac,pietatis}",prud. ham. 2.628 |1.2|
"{ac,primum}",prud. ham. 2.845 |1.2|
"{ac,primus}",prud. ham. 2.845 |1.2|
"{ac,pro}",prud. ham. 2.628 |1.4|
"{ac,proculcet}",prud. ham. 2.548 |2.4|
"{ac,proculco}",prud. ham. 2.548 |2.4|
"{ac,qui}","prud. ham. 2.29 |3.7| , prud. ham. 2.628 |1.7|"
"{ac,quid}",prud. ham. 2.628 |1.7|
"{ac,quique}",prud. ham. 2.29 |3.7|
"{ac,quis}","prud. ham. 2.29 |3.7| , prud. ham. 2.628 |1.7|"
"{ac,quisque}",prud. ham. 2.29 |3.7|
"{ac,refero}",prud. ham. 2.845 |1.4|
"{ac,referuntur}",prud. ham. 2.845 |1.4|
"{ac,se}",prud. ham. 2.51 |7.8|
"{ac,si}",prud. ham. 2.804 |3.4|
"{ac,sobria}",prud. ham. 2.548 |2.5|
"{ac,sobrio}",prud. ham. 2.548 |2.5|
"{ac,sobrius}",prud. ham. 2.548 |2.5|
"{ac,sua}",prud. ham. 2.493 |4.5|
"{ac,sub}",prud. ham. 2.519 |5.6|
"{ac,sudum}",prud. ham. 2.804 |3.7|
"{ac,sudus}",prud. ham. 2.804 |3.7|
"{ac,sui}",prud. ham. 2.51 |7.8|
"{ac,sum}",prud. ham. 2.628 |1.9|
"{ac,super}",prud. ham. 2.29 |3.5|
"{ac,supo}",prud. ham. 2.29 |3.5|
"{ac,suus}",prud. ham. 2.493 |4.5|
"{ac,uallo}",prud. ham. 2.493 |4.7|
"{ac,uallum}",prud. ham. 2.493 |4.7|
"{ac,uallus}",prud. ham. 2.493 |4.7|
"{ac,uelut}",prud. ham. 2.266 |1.2|
"{ac,uictum}",prud. ham. 2.548 |2.3|
"{ac,uictus}",prud. ham. 2.548 |2.3|
"{ac,uigebit}",prud. ham. 2.29 |3.8|
"{ac,uigeo}",prud. ham. 2.29 |3.8|
"{ac,uigesco}",prud. ham. 2.29 |3.4|
"{ac,uiguit}",prud. ham. 2.29 |3.4|
"{ac,uinco}",prud. ham. 2.548 |2.3|
"{ac,uiscere}",prud. ham. 2.885 |5.6|
"{ac,uisco}",prud. ham. 2.885 |5.6|
"{ac,uiuo}",prud. ham. 2.548 |2.3|
"{ac,uolatu}",prud. ham. 2.845 |1.7|
"{ac,uolatus}",prud. ham. 2.845 |1.7|
"{ac,uolo}",prud. ham. 2.845 |1.7|
"{accipe,gero}",prud. ham. 2.723 |1.2|
"{accipe,gestarum}",prud. ham. 2.723 |1.2|
"{accipe,insigne}",prud. ham. 2.723 |1.4|
"{accipe,insignia}",prud. ham. 2.723 |1.4|
"{accipe,insignis}",prud. ham. 2.723 |1.4|
"{accipe,monumenta}",prud. ham. 2.723 |1.3|
